gisjoin,name_dp,var_code,dp,name_sf,sf
G06056042,Paskenta CDP,IFE003,0,Paskenta CDP,5
G06056112,Patterson city,IFE003,1246,Patterson city,698
G06056120,Patterson Tract CDP,IFE003,0,Patterson Tract CDP,34
G06056140,Patton Village CDP,IFE003,0,Patton Village CDP,56
G06056182,Paxton CDP,IFE003,0,Paxton CDP,6
G06056196,Paynes Creek CDP,IFE003,0,Paynes Creek CDP,10
G06056294,Pearsonville CDP,IFE003,0,Pearsonville CDP,7
G06056350,Pedley CDP,IFE003,233,Pedley CDP,212
G06056476,Penngrove CDP,IFE003,180,Penngrove CDP,80
G06056518,Penn Valley CDP,IFE003,1,Penn Valley CDP,38
G06056546,Penryn CDP,IFE003,0,Penryn CDP,34
G06056700,Perris city,IFE003,3535,Perris city,1541
G06056756,Pescadero CDP,IFE003,0,Pescadero CDP,21
G06056784,Petaluma city,IFE003,1105,Petaluma city,999
G06056798,Peters CDP,IFE003,0,Peters CDP,13
G06056826,Phelan CDP,IFE003,131,Phelan CDP,567
G06056854,Phillipsville CDP,IFE003,0,Phillipsville CDP,12
G06056868,Philo CDP,IFE003,0,Philo CDP,19
G06056870,Phoenix Lake CDP,IFE003,80,Phoenix Lake CDP,196
G06056924,Pico Rivera city,IFE003,482,Pico Rivera city,543
G06056938,Piedmont city,IFE003,0,Piedmont city,123
G06057011,Pierpoint CDP,IFE003,66,Pierpoint CDP,57
G06057036,Pike CDP,IFE003,0,Pike CDP,24
G06057070,Pine Canyon CDP,IFE003,71,Pine Canyon CDP,33
G06057134,Pine Flat CDP,IFE003,227,Pine Flat CDP,191
G06057148,Pine Grove CDP,IFE003,0,Pine Grove CDP,156
G06057204,Pine Hills CDP,IFE003,126,Pine Hills CDP,66
G06057240,Pine Mountain Club CDP,IFE003,840,Pine Mountain Club CDP,1119
