gisjoin,name,state,H76001_dp,H76002_dp,H76003_dp,H76004_dp,H76005_dp,H76006_dp,H76007_dp,H76008_dp,H76009_dp,H76010_dp,H76011_dp,H76012_dp,H76013_dp,H76014_dp,H76015_dp,H76016_dp,H76017_dp,H76018_dp,H76019_dp,H76020_dp,H76021_dp,H76022_dp,H76023_dp,H76024_dp,H76025_dp,H76026_dp,H76027_dp,H76028_dp,H76029_dp,H76030_dp,H76031_dp,H76032_dp,H76033_dp,H76034_dp,H76035_dp,H76036_dp,H76037_dp,H76038_dp,H76039_dp,H76040_dp,H76041_dp,H76042_dp,H76043_dp,H76044_dp,H76045_dp,H76046_dp,H76047_dp,H76048_dp,H76049_dp,H9A001_dp,H9A002_dp,H9A003_dp,H9A004_dp,H9A005_dp,H9A006_dp,H9A007_dp,H9A008_dp,H9A009_dp,H9A010_dp,H9A011_dp,H9A012_dp,H9A013_dp,H9A014_dp,H9A015_dp,H9A016_dp,H9A017_dp,H9A018_dp,H9A019_dp,H9A020_dp,H9A021_dp,H9A022_dp,H9A023_dp,H9A024_dp,H9A025_dp,H9A026_dp,H9A027_dp,H9A028_dp,H9A029_dp,H9A030_dp,H9A031_dp,H9A032_dp,H9A033_dp,H9A034_dp,H9A035_dp,H9A036_dp,H9A037_dp,H9A038_dp,H9A039_dp,H9A040_dp,H9A041_dp,H9A042_dp,H9A043_dp,H9A044_dp,H9A045_dp,H9A046_dp,H9A047_dp,H9A048_dp,H9A049_dp,H9B001_dp,H9B002_dp,H9B003_dp,H9B004_dp,H9B005_dp,H9B006_dp,H9B007_dp,H9B008_dp,H9B009_dp,H9B010_dp,H9B011_dp,H9B012_dp,H9B013_dp,H9B014_dp,H9B015_dp,H9B016_dp,H9B017_dp,H9B018_dp,H9B019_dp,H9B020_dp,H9B021_dp,H9B022_dp,H9B023_dp,H9B024_dp,H9B025_dp,H9B026_dp,H9B027_dp,H9B028_dp,H9B029_dp,H9B030_dp,H9B031_dp,H9B032_dp,H9B033_dp,H9B034_dp,H9B035_dp,H9B036_dp,H9B037_dp,H9B038_dp,H9B039_dp,H9B040_dp,H9B041_dp,H9B042_dp,H9B043_dp,H9B044_dp,H9B045_dp,H9B046_dp,H9B047_dp,H9B048_dp,H9B049_dp,H9C001_dp,H9C002_dp,H9C003_dp,H9C004_dp,H9C005_dp,H9C006_dp,H9C007_dp,H9C008_dp,H9C009_dp,H9C010_dp,H9C011_dp,H9C012_dp,H9C013_dp,H9C014_dp,H9C015_dp,H9C016_dp,H9C017_dp,H9C018_dp,H9C019_dp,H9C020_dp,H9C021_dp,H9C022_dp,H9C023_dp,H9C024_dp,H9C025_dp,H9C026_dp,H9C027_dp,H9C028_dp,H9C029_dp,H9C030_dp,H9C031_dp,H9C032_dp,H9C033_dp,H9C034_dp,H9C035_dp,H9C036_dp,H9C037_dp,H9C038_dp,H9C039_dp,H9C040_dp,H9C041_dp,H9C042_dp,H9C043_dp,H9C044_dp,H9C045_dp,H9C046_dp,H9C047_dp,H9C048_dp,H9C049_dp,H9D001_dp,H9D002_dp,H9D003_dp,H9D004_dp,H9D005_dp,H9D006_dp,H9D007_dp,H9D008_dp,H9D009_dp,H9D010_dp,H9D011_dp,H9D012_dp,H9D013_dp,H9D014_dp,H9D015_dp,H9D016_dp,H9D017_dp,H9D018_dp,H9D019_dp,H9D020_dp,H9D021_dp,H9D022_dp,H9D023_dp,H9D024_dp,H9D025_dp,H9D026_dp,H9D027_dp,H9D028_dp,H9D029_dp,H9D030_dp,H9D031_dp,H9D032_dp,H9D033_dp,H9D034_dp,H9D035_dp,H9D036_dp,H9D037_dp,H9D038_dp,H9D039_dp,H9D040_dp,H9D041_dp,H9D042_dp,H9D043_dp,H9D044_dp,H9D045_dp,H9D046_dp,H9D047_dp,H9D048_dp,H9D049_dp,H9E001_dp,H9E002_dp,H9E003_dp,H9E004_dp,H9E005_dp,H9E006_dp,H9E007_dp,H9E008_dp,H9E009_dp,H9E010_dp,H9E011_dp,H9E012_dp,H9E013_dp,H9E014_dp,H9E015_dp,H9E016_dp,H9E017_dp,H9E018_dp,H9E019_dp,H9E020_dp,H9E021_dp,H9E022_dp,H9E023_dp,H9E024_dp,H9E025_dp,H9E026_dp,H9E027_dp,H9E028_dp,H9E029_dp,H9E030_dp,H9E031_dp,H9E032_dp,H9E033_dp,H9E034_dp,H9E035_dp,H9E036_dp,H9E037_dp,H9E038_dp,H9E039_dp,H9E040_dp,H9E041_dp,H9E042_dp,H9E043_dp,H9E044_dp,H9E045_dp,H9E046_dp,H9E047_dp,H9E048_dp,H9E049_dp,H9F001_dp,H9F002_dp,H9F003_dp,H9F004_dp,H9F005_dp,H9F006_dp,H9F007_dp,H9F008_dp,H9F009_dp,H9F010_dp,H9F011_dp,H9F012_dp,H9F013_dp,H9F014_dp,H9F015_dp,H9F016_dp,H9F017_dp,H9F018_dp,H9F019_dp,H9F020_dp,H9F021_dp,H9F022_dp,H9F023_dp,H9F024_dp,H9F025_dp,H9F026_dp,H9F027_dp,H9F028_dp,H9F029_dp,H9F030_dp,H9F031_dp,H9F032_dp,H9F033_dp,H9F034_dp,H9F035_dp,H9F036_dp,H9F037_dp,H9F038_dp,H9F039_dp,H9F040_dp,H9F041_dp,H9F042_dp,H9F043_dp,H9F044_dp,H9F045_dp,H9F046_dp,H9F047_dp,H9F048_dp,H9F049_dp,H9G001_dp,H9G002_dp,H9G003_dp,H9G004_dp,H9G005_dp,H9G006_dp,H9G007_dp,H9G008_dp,H9G009_dp,H9G010_dp,H9G011_dp,H9G012_dp,H9G013_dp,H9G014_dp,H9G015_dp,H9G016_dp,H9G017_dp,H9G018_dp,H9G019_dp,H9G020_dp,H9G021_dp,H9G022_dp,H9G023_dp,H9G024_dp,H9G025_dp,H9G026_dp,H9G027_dp,H9G028_dp,H9G029_dp,H9G030_dp,H9G031_dp,H9G032_dp,H9G033_dp,H9G034_dp,H9G035_dp,H9G036_dp,H9G037_dp,H9G038_dp,H9G039_dp,H9G040_dp,H9G041_dp,H9G042_dp,H9G043_dp,H9G044_dp,H9G045_dp,H9G046_dp,H9G047_dp,H9G048_dp,H9G049_dp,H9H001_dp,H9H002_dp,H9H003_dp,H9H004_dp,H9H005_dp,H9H006_dp,H9H007_dp,H9H008_dp,H9H009_dp,H9H010_dp,H9H011_dp,H9H012_dp,H9H013_dp,H9H014_dp,H9H015_dp,H9H016_dp,H9H017_dp,H9H018_dp,H9H019_dp,H9H020_dp,H9H021_dp,H9H022_dp,H9H023_dp,H9H024_dp,H9H025_dp,H9H026_dp,H9H027_dp,H9H028_dp,H9H029_dp,H9H030_dp,H9H031_dp,H9H032_dp,H9H033_dp,H9H034_dp,H9H035_dp,H9H036_dp,H9H037_dp,H9H038_dp,H9H039_dp,H9H040_dp,H9H041_dp,H9H042_dp,H9H043_dp,H9H044_dp,H9H045_dp,H9H046_dp,H9H047_dp,H9H048_dp,H9H049_dp,H9I001_dp,H9I002_dp,H9I003_dp,H9I004_dp,H9I005_dp,H9I006_dp,H9I007_dp,H9I008_dp,H9I009_dp,H9I010_dp,H9I011_dp,H9I012_dp,H9I013_dp,H9I014_dp,H9I015_dp,H9I016_dp,H9I017_dp,H9I018_dp,H9I019_dp,H9I020_dp,H9I021_dp,H9I022_dp,H9I023_dp,H9I024_dp,H9I025_dp,H9I026_dp,H9I027_dp,H9I028_dp,H9I029_dp,H9I030_dp,H9I031_dp,H9I032_dp,H9I033_dp,H9I034_dp,H9I035_dp,H9I036_dp,H9I037_dp,H9I038_dp,H9I039_dp,H9I040_dp,H9I041_dp,H9I042_dp,H9I043_dp,H9I044_dp,H9I045_dp,H9I046_dp,H9I047_dp,H9I048_dp,H9I049_dp,H76001_sf,H76002_sf,H76003_sf,H76004_sf,H76005_sf,H76006_sf,H76007_sf,H76008_sf,H76009_sf,H76010_sf,H76011_sf,H76012_sf,H76013_sf,H76014_sf,H76015_sf,H76016_sf,H76017_sf,H76018_sf,H76019_sf,H76020_sf,H76021_sf,H76022_sf,H76023_sf,H76024_sf,H76025_sf,H76026_sf,H76027_sf,H76028_sf,H76029_sf,H76030_sf,H76031_sf,H76032_sf,H76033_sf,H76034_sf,H76035_sf,H76036_sf,H76037_sf,H76038_sf,H76039_sf,H76040_sf,H76041_sf,H76042_sf,H76043_sf,H76044_sf,H76045_sf,H76046_sf,H76047_sf,H76048_sf,H76049_sf,H9A001_sf,H9A002_sf,H9A003_sf,H9A004_sf,H9A005_sf,H9A006_sf,H9A007_sf,H9A008_sf,H9A009_sf,H9A010_sf,H9A011_sf,H9A012_sf,H9A013_sf,H9A014_sf,H9A015_sf,H9A016_sf,H9A017_sf,H9A018_sf,H9A019_sf,H9A020_sf,H9A021_sf,H9A022_sf,H9A023_sf,H9A024_sf,H9A025_sf,H9A026_sf,H9A027_sf,H9A028_sf,H9A029_sf,H9A030_sf,H9A031_sf,H9A032_sf,H9A033_sf,H9A034_sf,H9A035_sf,H9A036_sf,H9A037_sf,H9A038_sf,H9A039_sf,H9A040_sf,H9A041_sf,H9A042_sf,H9A043_sf,H9A044_sf,H9A045_sf,H9A046_sf,H9A047_sf,H9A048_sf,H9A049_sf,H9B001_sf,H9B002_sf,H9B003_sf,H9B004_sf,H9B005_sf,H9B006_sf,H9B007_sf,H9B008_sf,H9B009_sf,H9B010_sf,H9B011_sf,H9B012_sf,H9B013_sf,H9B014_sf,H9B015_sf,H9B016_sf,H9B017_sf,H9B018_sf,H9B019_sf,H9B020_sf,H9B021_sf,H9B022_sf,H9B023_sf,H9B024_sf,H9B025_sf,H9B026_sf,H9B027_sf,H9B028_sf,H9B029_sf,H9B030_sf,H9B031_sf,H9B032_sf,H9B033_sf,H9B034_sf,H9B035_sf,H9B036_sf,H9B037_sf,H9B038_sf,H9B039_sf,H9B040_sf,H9B041_sf,H9B042_sf,H9B043_sf,H9B044_sf,H9B045_sf,H9B046_sf,H9B047_sf,H9B048_sf,H9B049_sf,H9C001_sf,H9C002_sf,H9C003_sf,H9C004_sf,H9C005_sf,H9C006_sf,H9C007_sf,H9C008_sf,H9C009_sf,H9C010_sf,H9C011_sf,H9C012_sf,H9C013_sf,H9C014_sf,H9C015_sf,H9C016_sf,H9C017_sf,H9C018_sf,H9C019_sf,H9C020_sf,H9C021_sf,H9C022_sf,H9C023_sf,H9C024_sf,H9C025_sf,H9C026_sf,H9C027_sf,H9C028_sf,H9C029_sf,H9C030_sf,H9C031_sf,H9C032_sf,H9C033_sf,H9C034_sf,H9C035_sf,H9C036_sf,H9C037_sf,H9C038_sf,H9C039_sf,H9C040_sf,H9C041_sf,H9C042_sf,H9C043_sf,H9C044_sf,H9C045_sf,H9C046_sf,H9C047_sf,H9C048_sf,H9C049_sf,H9D001_sf,H9D002_sf,H9D003_sf,H9D004_sf,H9D005_sf,H9D006_sf,H9D007_sf,H9D008_sf,H9D009_sf,H9D010_sf,H9D011_sf,H9D012_sf,H9D013_sf,H9D014_sf,H9D015_sf,H9D016_sf,H9D017_sf,H9D018_sf,H9D019_sf,H9D020_sf,H9D021_sf,H9D022_sf,H9D023_sf,H9D024_sf,H9D025_sf,H9D026_sf,H9D027_sf,H9D028_sf,H9D029_sf,H9D030_sf,H9D031_sf,H9D032_sf,H9D033_sf,H9D034_sf,H9D035_sf,H9D036_sf,H9D037_sf,H9D038_sf,H9D039_sf,H9D040_sf,H9D041_sf,H9D042_sf,H9D043_sf,H9D044_sf,H9D045_sf,H9D046_sf,H9D047_sf,H9D048_sf,H9D049_sf,H9E001_sf,H9E002_sf,H9E003_sf,H9E004_sf,H9E005_sf,H9E006_sf,H9E007_sf,H9E008_sf,H9E009_sf,H9E010_sf,H9E011_sf,H9E012_sf,H9E013_sf,H9E014_sf,H9E015_sf,H9E016_sf,H9E017_sf,H9E018_sf,H9E019_sf,H9E020_sf,H9E021_sf,H9E022_sf,H9E023_sf,H9E024_sf,H9E025_sf,H9E026_sf,H9E027_sf,H9E028_sf,H9E029_sf,H9E030_sf,H9E031_sf,H9E032_sf,H9E033_sf,H9E034_sf,H9E035_sf,H9E036_sf,H9E037_sf,H9E038_sf,H9E039_sf,H9E040_sf,H9E041_sf,H9E042_sf,H9E043_sf,H9E044_sf,H9E045_sf,H9E046_sf,H9E047_sf,H9E048_sf,H9E049_sf,H9F001_sf,H9F002_sf,H9F003_sf,H9F004_sf,H9F005_sf,H9F006_sf,H9F007_sf,H9F008_sf,H9F009_sf,H9F010_sf,H9F011_sf,H9F012_sf,H9F013_sf,H9F014_sf,H9F015_sf,H9F016_sf,H9F017_sf,H9F018_sf,H9F019_sf,H9F020_sf,H9F021_sf,H9F022_sf,H9F023_sf,H9F024_sf,H9F025_sf,H9F026_sf,H9F027_sf,H9F028_sf,H9F029_sf,H9F030_sf,H9F031_sf,H9F032_sf,H9F033_sf,H9F034_sf,H9F035_sf,H9F036_sf,H9F037_sf,H9F038_sf,H9F039_sf,H9F040_sf,H9F041_sf,H9F042_sf,H9F043_sf,H9F044_sf,H9F045_sf,H9F046_sf,H9F047_sf,H9F048_sf,H9F049_sf,H9G001_sf,H9G002_sf,H9G003_sf,H9G004_sf,H9G005_sf,H9G006_sf,H9G007_sf,H9G008_sf,H9G009_sf,H9G010_sf,H9G011_sf,H9G012_sf,H9G013_sf,H9G014_sf,H9G015_sf,H9G016_sf,H9G017_sf,H9G018_sf,H9G019_sf,H9G020_sf,H9G021_sf,H9G022_sf,H9G023_sf,H9G024_sf,H9G025_sf,H9G026_sf,H9G027_sf,H9G028_sf,H9G029_sf,H9G030_sf,H9G031_sf,H9G032_sf,H9G033_sf,H9G034_sf,H9G035_sf,H9G036_sf,H9G037_sf,H9G038_sf,H9G039_sf,H9G040_sf,H9G041_sf,H9G042_sf,H9G043_sf,H9G044_sf,H9G045_sf,H9G046_sf,H9G047_sf,H9G048_sf,H9G049_sf,H9H001_sf,H9H002_sf,H9H003_sf,H9H004_sf,H9H005_sf,H9H006_sf,H9H007_sf,H9H008_sf,H9H009_sf,H9H010_sf,H9H011_sf,H9H012_sf,H9H013_sf,H9H014_sf,H9H015_sf,H9H016_sf,H9H017_sf,H9H018_sf,H9H019_sf,H9H020_sf,H9H021_sf,H9H022_sf,H9H023_sf,H9H024_sf,H9H025_sf,H9H026_sf,H9H027_sf,H9H028_sf,H9H029_sf,H9H030_sf,H9H031_sf,H9H032_sf,H9H033_sf,H9H034_sf,H9H035_sf,H9H036_sf,H9H037_sf,H9H038_sf,H9H039_sf,H9H040_sf,H9H041_sf,H9H042_sf,H9H043_sf,H9H044_sf,H9H045_sf,H9H046_sf,H9H047_sf,H9H048_sf,H9H049_sf,H9I001_sf,H9I002_sf,H9I003_sf,H9I004_sf,H9I005_sf,H9I006_sf,H9I007_sf,H9I008_sf,H9I009_sf,H9I010_sf,H9I011_sf,H9I012_sf,H9I013_sf,H9I014_sf,H9I015_sf,H9I016_sf,H9I017_sf,H9I018_sf,H9I019_sf,H9I020_sf,H9I021_sf,H9I022_sf,H9I023_sf,H9I024_sf,H9I025_sf,H9I026_sf,H9I027_sf,H9I028_sf,H9I029_sf,H9I030_sf,H9I031_sf,H9I032_sf,H9I033_sf,H9I034_sf,H9I035_sf,H9I036_sf,H9I037_sf,H9I038_sf,H9I039_sf,H9I040_sf,H9I041_sf,H9I042_sf,H9I043_sf,H9I044_sf,H9I045_sf,H9I046_sf,H9I047_sf,H9I048_sf,H9I049_sf
G2100010,Adair County,21,18683,9202,558,719,606,288,397,121,144,335,548,500,557,557,658,640,623,291,351,238,189,373,231,135,143,9481,633,569,542,386,351,169,138,369,540,467,569,517,703,764,625,269,286,146,347,390,278,206,217,17693,8671,531,553,547,273,357,121,138,309,530,451,541,555,644,608,613,281,343,218,184,370,231,135,138,9022,613,524,506,386,345,169,138,369,484,446,546,512,657,679,597,264,286,146,347,390,242,175,201,493,253,0,45,34,5,35,0,5,26,0,39,16,0,0,10,0,5,3,20,5,0,0,0,5,240,0,8,5,0,0,0,0,0,31,15,0,5,5,80,17,5,0,0,0,0,36,30,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,186,100,0,57,5,5,0,0,1,0,12,10,0,0,0,0,5,5,0,0,0,0,0,0,0,86,10,7,16,0,0,0,0,0,0,3,0,0,41,5,0,0,0,0,0,0,0,0,4,263,160,27,64,20,0,5,0,0,0,5,0,0,0,9,22,5,0,0,0,0,3,0,0,0,103,10,30,15,0,6,0,0,0,25,3,4,0,0,0,0,0,0,0,0,0,0,1,9,337,186,29,59,4,5,2,5,1,13,15,10,0,5,0,2,5,10,5,0,0,6,10,0,0,151,11,12,14,16,0,5,0,0,14,3,5,0,46,5,5,0,0,0,4,5,0,1,5,17547,8609,512,553,547,273,355,116,138,296,527,451,541,550,644,606,613,281,343,218,184,367,221,135,138,8938,607,519,497,370,345,164,138,369,470,446,541,512,652,679,592,264,286,146,343,385,242,175,196,18656,9208,594,585,589,373,446,183,156,366,542,485,573,568,668,623,618,246,320,197,255,354,230,142,95,9448,575,542,543,405,385,194,150,356,496,494,552,591,730,658,607,249,335,184,267,404,285,229,217,17696,8681,548,548,553,349,375,161,145,330,507,457,543,540,644,602,591,240,311,192,248,343,223,139,92,9015,532,519,509,376,353,183,142,335,479,475,536,559,709,634,587,234,324,179,255,394,278,214,209,503,290,11,9,15,14,58,14,8,25,20,14,11,16,12,12,19,6,4,4,5,5,3,2,3,213,15,2,9,14,16,10,7,12,3,8,5,21,11,13,11,8,7,4,7,5,4,15,6,36,19,1,2,2,1,0,1,0,2,0,0,0,1,2,3,2,0,2,0,0,0,0,0,0,17,1,1,2,1,1,1,0,0,0,1,1,1,0,3,2,0,2,0,0,0,0,0,0,45,17,5,1,0,1,0,0,0,0,0,1,3,1,0,0,2,0,2,0,1,0,0,0,0,28,0,2,1,0,3,0,0,1,3,3,1,2,2,1,3,2,1,0,1,2,0,0,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,164,96,10,10,12,3,4,3,1,4,14,9,8,5,6,3,2,0,0,0,1,0,1,0,0,68,7,8,10,5,4,0,1,5,7,5,4,5,1,4,1,0,0,0,0,1,0,0,0,207,103,19,15,7,5,8,4,2,4,1,4,8,5,4,3,2,0,1,1,0,6,3,1,0,104,20,10,12,8,8,0,0,3,4,2,4,3,7,3,3,4,1,1,4,2,3,0,2,319,186,23,23,17,9,16,8,3,8,21,12,13,7,7,8,2,1,1,1,2,3,1,0,0,133,14,15,15,9,6,2,3,7,14,7,7,7,4,6,7,2,2,0,1,4,1,0,0,17558,8602,538,537,546,344,365,158,143,327,500,454,539,538,643,598,591,239,310,191,247,340,223,139,92,8956,525,512,505,371,352,181,140,333,472,473,535,558,707,632,582,232,322,179,254,391,277,214,209
G2100030,Allen County,21,19937,9635,548,661,722,489,268,129,123,299,503,560,836,599,665,731,556,281,316,310,229,346,272,98,94,10302,762,565,669,469,342,114,122,343,545,562,636,708,762,670,692,271,397,209,260,411,319,234,240,19340,9205,516,634,668,445,267,106,92,284,488,541,793,569,643,728,522,260,316,297,229,344,272,98,93,10135,740,550,660,425,331,114,117,343,532,562,610,708,755,665,692,271,392,209,260,406,319,234,240,196,174,6,14,33,5,0,0,31,5,9,0,11,1,5,0,34,20,0,0,0,0,0,0,0,22,5,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,34,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,31,10,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,58,0,12,0,0,0,0,0,0,6,9,10,11,0,0,0,0,0,9,0,0,0,0,1,28,0,0,0,15,0,0,0,0,6,0,5,0,2,0,0,0,0,0,0,0,0,0,0,245,154,26,1,16,39,1,0,0,5,0,10,22,18,6,3,0,1,0,4,0,2,0,0,0,91,17,10,9,17,11,0,5,0,7,0,0,0,0,5,0,0,5,0,0,5,0,0,0,279,209,22,21,14,23,0,0,0,0,11,12,69,11,9,3,4,0,0,9,0,0,0,0,1,70,17,10,5,15,5,0,0,0,6,0,5,0,2,5,0,0,0,0,0,0,0,0,0,19213,9105,511,634,668,422,267,106,92,284,483,541,736,569,637,728,518,260,316,297,229,344,272,98,93,10108,723,550,655,425,326,114,117,343,532,562,610,708,755,665,692,271,392,209,260,406,319,234,240,19956,9805,667,668,707,438,254,115,129,333,537,576,712,668,685,760,626,260,334,200,280,370,272,133,81,10151,679,655,624,449,280,112,117,327,605,585,641,700,789,668,667,263,395,218,281,393,300,208,195,19362,9498,637,632,678,421,245,110,121,327,517,555,698,642,669,740,610,257,325,197,275,360,271,131,80,9864,650,626,597,428,273,108,115,318,586,567,624,688,765,654,654,259,383,215,277,389,294,203,191,164,87,2,6,2,6,5,1,4,3,8,7,4,10,4,7,8,1,3,1,2,1,0,1,1,77,4,7,4,8,0,2,1,2,4,5,4,4,5,9,5,0,0,1,1,2,1,4,4,58,30,0,2,0,1,0,1,2,0,0,1,2,5,4,2,1,1,0,1,3,3,0,1,0,28,0,1,5,1,2,1,0,0,1,0,2,2,3,2,2,0,2,1,2,1,0,0,0,31,9,0,2,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,22,6,1,2,2,0,0,0,1,0,1,1,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,49,5,6,3,2,0,0,0,3,6,6,5,5,4,2,0,0,1,0,0,1,0,0,0,35,3,6,6,2,0,1,0,2,4,5,3,0,2,0,0,0,0,1,0,0,0,0,0,257,132,23,20,23,8,3,3,2,0,5,6,3,5,4,9,6,1,4,1,0,5,1,0,0,125,16,14,10,8,5,0,1,4,10,7,7,6,10,3,5,3,8,0,1,1,5,1,0,297,164,27,25,17,6,2,1,2,5,15,13,15,13,8,8,1,0,1,1,0,3,1,0,0,133,24,19,11,6,2,1,1,10,12,14,9,5,5,2,4,1,0,5,1,1,0,0,0,19203,9414,624,620,669,418,243,109,119,325,509,549,691,635,665,736,609,257,325,196,275,359,270,131,80,9789,639,615,590,425,271,108,114,312,582,560,619,684,763,652,650,259,383,211,276,388,294,203,191
G2100050,Anderson County,21,21400,10396,789,684,782,428,200,89,102,306,638,649,836,807,836,696,655,228,350,174,289,311,177,145,225,11004,713,706,782,526,275,101,167,303,713,617,835,820,926,683,693,290,388,122,226,412,213,298,195,20441,10061,752,638,771,418,190,89,99,291,618,642,779,785,819,657,640,228,342,174,289,306,172,142,220,10380,649,683,704,498,254,101,162,295,683,586,813,740,904,592,661,253,379,114,221,402,208,285,193,442,151,11,10,5,0,10,0,0,10,9,0,21,6,10,34,10,0,5,0,0,0,5,0,5,291,17,6,5,28,0,0,0,5,10,10,5,46,0,86,19,36,0,8,5,0,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,65,27,0,6,0,5,0,0,0,0,4,0,7,0,0,0,5,0,0,0,0,0,0,0,0,38,3,0,7,0,0,0,0,0,0,1,9,5,0,0,5,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,71,11,6,0,5,0,0,0,5,5,0,24,10,5,0,0,0,0,0,0,0,0,0,0,38,1,5,14,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,5,0,310,86,15,24,6,0,0,0,3,0,2,7,5,6,2,5,0,0,3,0,0,5,0,3,0,224,43,12,52,0,21,0,5,3,8,15,8,0,22,5,8,1,9,0,0,5,0,5,2,259,93,12,19,0,12,0,0,0,5,5,1,24,5,5,0,5,0,0,0,0,0,0,0,0,166,18,5,24,32,0,0,5,10,7,5,5,45,0,5,0,0,0,0,0,0,0,5,0,20301,10033,751,624,771,411,190,89,99,291,618,641,779,785,819,657,635,228,342,174,289,306,172,142,220,10268,643,678,694,466,254,101,157,290,683,586,808,696,904,592,661,253,379,114,221,402,208,285,193,21421,10468,747,734,832,502,257,106,106,310,545,693,808,798,850,764,724,235,331,181,250,297,182,138,78,10953,686,717,759,469,241,99,120,324,676,711,820,789,926,774,738,277,374,178,257,338,250,202,228,20458,10008,712,682,802,472,238,100,99,299,518,655,773,755,828,733,702,230,323,175,242,283,175,137,75,10450,628,655,721,439,229,95,113,312,647,683,787,750,897,757,712,265,364,174,248,324,234,197,219,433,214,5,13,14,13,9,4,2,5,5,20,16,25,11,23,11,4,5,3,7,12,4,0,3,219,11,14,10,14,4,1,4,2,9,10,17,21,11,10,19,9,9,1,8,11,11,4,9,31,20,0,0,2,2,0,0,1,1,1,1,2,2,4,2,1,0,1,0,0,0,0,0,0,11,0,1,0,2,1,0,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,105,41,4,5,1,4,1,0,0,1,6,2,5,4,1,1,4,0,0,0,1,1,0,0,0,64,6,7,1,2,3,1,0,5,12,6,7,6,4,1,1,0,0,0,0,0,2,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,73,7,7,4,4,7,2,2,0,8,9,7,4,5,3,2,1,1,0,0,0,0,0,0,52,9,7,5,2,1,1,0,3,5,5,3,2,3,1,2,0,0,2,0,1,0,0,0,264,109,19,25,9,7,2,0,2,4,7,6,5,7,1,2,4,0,1,3,0,1,3,1,0,155,32,32,22,9,3,1,2,2,2,7,6,9,8,4,4,3,1,1,1,2,3,1,0,288,163,23,23,13,13,6,1,4,4,13,14,13,12,7,4,5,1,4,0,2,0,0,0,1,125,16,20,17,5,1,1,0,4,10,12,5,11,5,6,5,0,1,2,0,1,2,1,0,20314,9931,698,668,795,465,238,100,99,295,514,651,768,749,827,731,699,230,319,175,241,283,175,137,74,10383,620,646,711,434,229,95,113,311,643,677,786,741,895,754,709,265,363,173,248,323,232,196,219
