

Acoma Pueblo and Off-Reservation Trust Land
Agua Caliente Indian Reservation and Off-Reservation Trust Land
Alabama-Coushatta Reservation and Off-Reservation Trust Land
Allegany Reservation
Alturas Indian Rancheria
Annette Island Reserve
Aroostook Band of Micmac Trust Land
Auburn Rancheria and Off-Reservation Trust Land
Augustine Reservation
Bad River Reservation
Barona Reservation
Battle Mountain Reservation
Bay Mills Reservation and Off-Reservation Trust Land
Benton Paiute Reservation and Off-Reservation Trust Land
Berry Creek Rancheria and Off-Reservation Trust Land
Big Bend Rancheria
Big Cypress Reservation
Big Lagoon Rancheria
Big Pine Reservation
Big Sandy Rancheria
Big Valley Rancheria
Bishop Reservation
Blackfeet Indian Reservation and Off-Reservation Trust Land
Blue Lake Rancheria and Off-Reservation Trust Land
Bois Forte Reservation
Bridgeport Reservation
Brighton Reservation
Burns Paiute Indian Colony and Off-Reservation Trust Land
Cabazon Reservation
Cahuilla Reservation
Campbell Ranch
Campo Indian Reservation
Capitan Grande Reservation
Carson Colony
Catawba Reservation
Cattaraugus Reservation
Cedarville Rancheria and Off-Reservation Trust Land
Celilo Village
Chehalis Reservation and Off-Reservation Trust Land
Chemehuevi Reservation
Cheyenne River Reservation and Off-Reservation Trust Land
Chicken Ranch Rancheria and Off-Reservation Trust Land
Chitimacha Reservation
Pueblo de Cochiti
Coconut Creek Trust Land
Cocopah Reservation
Coeur d'Alene Reservation
Cold Springs Rancheria
Colorado River Indian Reservation
Colusa Rancheria
Colville Reservation and Off-Reservation Trust Land
"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land"
Coquille Reservation
Cortina Indian Rancheria
Coushatta Reservation and Off-Reservation Trust Land
Cow Creek Reservation and Off-Reservation Trust Land
Coyote Valley Reservation
Crow Reservation and Off-Reservation Trust Land
Crow Creek Reservation
Dresslerville Colony
Dry Creek Rancheria
Duck Valley Reservation
Duckwater Reservation
Eastern Cherokee Reservation
Elko Colony
Elk Valley Rancheria and Off-Reservation Trust Land
Ely Reservation
Enterprise Rancheria
Ewiiaapaayp Reservation
Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land
Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land
Flandreau Reservation
Flathead Reservation
Fond du Lac Reservation and Off-Reservation Trust Land
Forest County Potawatomi Community and Off-Reservation Trust Land
Fort Apache Reservation
Fort Belknap Reservation and Off-Reservation Trust Land
Fort Berthold Reservation
Fort Bidwell Reservation and Off-Reservation Trust Land
Fort Hall Reservation and Off-Reservation Trust Land
Fort Independence Reservation
Fort McDermitt Indian Reservation
Fort McDowell Yavapai Nation Reservation
Fort Mojave Reservation and Off-Reservation Trust Land
Fort Peck Indian Reservation and Off-Reservation Trust Land
Fort Pierce Reservation
Fort Yuma Indian Reservation
Gila River Indian Reservation
Goshute Reservation
