gisjoin,name_dp,var_code,dp,name_sf,sf
G3200010,Churchill County,H7X006,45,Churchill County,51
G3200030,Clark County,H7X006,13717,Clark County,13628
G3200050,Douglas County,H7X006,73,Douglas County,66
G3200070,Elko County,H7X006,94,Elko County,69
G3200090,Esmeralda County,H7X006,0,Esmeralda County,0
G3200110,Eureka County,H7X006,0,Eureka County,0
G3200130,Humboldt County,H7X006,55,Humboldt County,19
G3200150,Lander County,H7X006,12,Lander County,1
G3200170,Lincoln County,H7X006,1,Lincoln County,15
G3200190,Lyon County,H7X006,91,Lyon County,130
G3200210,Mineral County,H7X006,48,Mineral County,6
G3200230,Nye County,H7X006,201,Nye County,211
G3200270,Pershing County,H7X006,6,Pershing County,7
G3200290,Storey County,H7X006,18,Storey County,15
G3200310,Washoe County,H7X006,2543,Washoe County,2542
G3200330,White Pine County,H7X006,12,White Pine County,10
G3205100,Carson City,H7X006,99,Carson City,101
G3200010,Churchill County,H7X007,1145,Churchill County,1183
G3200030,Clark County,H7X007,262608,Clark County,262506
G3200050,Douglas County,H7X007,1466,Douglas County,1506
G3200070,Elko County,H7X007,5037,Elko County,5022
G3200090,Esmeralda County,H7X007,51,Esmeralda County,52
G3200110,Eureka County,H7X007,78,Eureka County,101
G3200130,Humboldt County,H7X007,2081,Humboldt County,2095
G3200150,Lander County,H7X007,471,Lander County,496
G3200170,Lincoln County,H7X007,84,Lincoln County,116
G3200190,Lyon County,H7X007,3314,Lyon County,3320
G3200210,Mineral County,H7X007,105,Mineral County,101
G3200230,Nye County,H7X007,2169,Nye County,2273
G3200270,Pershing County,H7X007,437,Pershing County,455
G3200290,Storey County,H7X007,51,Storey County,45
G3200310,Washoe County,H7X007,40091,Washoe County,40038
G3200330,White Pine County,H7X007,237,White Pine County,279
G3205100,Carson City,H7X007,5225,Carson City,5205
G3200010,Churchill County,H7X008,1081,Churchill County,1047
G3200030,Clark County,H7X008,98222,Clark County,99391
G3200050,Douglas County,H7X008,1606,Douglas County,1473
G3200070,Elko County,H7X008,1588,Elko County,1541
G3200090,Esmeralda County,H7X008,299,Esmeralda County,34
G3200110,Eureka County,H7X008,197,Eureka County,44
G3200130,Humboldt County,H7X008,669,Humboldt County,462
G3200150,Lander County,H7X008,271,Lander County,142
G3200170,Lincoln County,H7X008,351,Lincoln County,121
G3200190,Lyon County,H7X008,2028,Lyon County,1938
G3200210,Mineral County,H7X008,357,Mineral County,212
G3200230,Nye County,H7X008,1589,Nye County,1558
G3200270,Pershing County,H7X008,399,Pershing County,206
G3200290,Storey County,H7X008,227,Storey County,87
G3200310,Washoe County,H7X008,15460,Washoe County,15944
G3200330,White Pine County,H7X008,574,White Pine County,255
G3205100,Carson City,H7X008,1629,Carson City,1620
G3200010,Churchill County,H7Y001,24803,Churchill County,24877
G3200030,Clark County,H7Y001,1950583,Clark County,1951269
G3200050,Douglas County,H7Y001,47056,Douglas County,46997
G3200070,Elko County,H7Y001,48758,Elko County,48818
G3200090,Esmeralda County,H7Y001,1012,Esmeralda County,783
G3200110,Eureka County,H7Y001,2145,Eureka County,1987
G3200130,Humboldt County,H7Y001,16644,Humboldt County,16528
G3200150,Lander County,H7Y001,5847,Lander County,5775
G3200170,Lincoln County,H7Y001,5528,Lincoln County,5345
G3200190,Lyon County,H7Y001,51989,Lyon County,51980
G3200210,Mineral County,H7Y001,4913,Mineral County,4772
G3200230,Nye County,H7Y001,43873,Nye County,43946
G3200270,Pershing County,H7Y001,6881,Pershing County,6753
G3200290,Storey County,H7Y001,4158,Storey County,4010
G3200310,Washoe County,H7Y001,420941,Washoe County,421407
G3200330,White Pine County,H7Y001,10211,White Pine County,10030
G3205100,Carson City,H7Y001,55209,Carson City,55274
G3200010,Churchill County,H7Y002,21829,Churchill County,21868
G3200030,Clark County,H7Y002,1381936,Clark County,1382625
G3200050,Douglas County,H7Y002,41957,Douglas County,41894
G3200070,Elko County,H7Y002,37533,Elko County,37660
G3200090,Esmeralda County,H7Y002,734,Esmeralda County,663
G3200110,Eureka County,H7Y002,1787,Eureka County,1749
G3200130,Humboldt County,H7Y002,12567,Humboldt County,12490
G3200150,Lander County,H7Y002,4640,Lander County,4556
G3200170,Lincoln County,H7Y002,5021,Lincoln County,5013
G3200190,Lyon County,H7Y002,44155,Lyon County,44306
G3200210,Mineral County,H7Y002,4372,Mineral County,4336
G3200230,Nye County,H7Y002,37914,Nye County,37979
G3200270,Pershing County,H7Y002,5325,Pershing County,5245
G3200290,Storey County,H7Y002,3788,Storey County,3782
G3200310,Washoe County,H7Y002,327256,Washoe County,327683
G3200330,White Pine County,H7Y002,8711,White Pine County,8704
G3205100,Carson City,H7Y002,43359,Carson City,43497
G3200010,Churchill County,H7Y003,2974,Churchill County,3009
G3200030,Clark County,H7Y003,568647,Clark County,568644
G3200050,Douglas County,H7Y003,5099,Douglas County,5103
G3200070,Elko County,H7Y003,11225,Elko County,11158
G3200090,Esmeralda County,H7Y003,278,Esmeralda County,120
G3200110,Eureka County,H7Y003,358,Eureka County,238
G3200130,Humboldt County,H7Y003,4077,Humboldt County,4038
G3200150,Lander County,H7Y003,1207,Lander County,1219
G3200170,Lincoln County,H7Y003,507,Lincoln County,332
G3200190,Lyon County,H7Y003,7834,Lyon County,7674
G3200210,Mineral County,H7Y003,541,Mineral County,436
G3200230,Nye County,H7Y003,5959,Nye County,5967
G3200270,Pershing County,H7Y003,1556,Pershing County,1508
G3200290,Storey County,H7Y003,370,Storey County,228
G3200310,Washoe County,H7Y003,93685,Washoe County,93724
G3200330,White Pine County,H7Y003,1500,White Pine County,1326
G3205100,Carson City,H7Y003,11850,Carson City,11777
G3200010,Churchill County,H7Z001,24803,Churchill County,24877
G3200030,Clark County,H7Z001,1950583,Clark County,1951269
G3200050,Douglas County,H7Z001,47056,Douglas County,46997
G3200070,Elko County,H7Z001,48758,Elko County,48818
G3200090,Esmeralda County,H7Z001,1012,Esmeralda County,783
G3200110,Eureka County,H7Z001,2145,Eureka County,1987
G3200130,Humboldt County,H7Z001,16644,Humboldt County,16528
G3200150,Lander County,H7Z001,5847,Lander County,5775
G3200170,Lincoln County,H7Z001,5528,Lincoln County,5345
G3200190,Lyon County,H7Z001,51989,Lyon County,51980
G3200210,Mineral County,H7Z001,4913,Mineral County,4772
G3200230,Nye County,H7Z001,43873,Nye County,43946
G3200270,Pershing County,H7Z001,6881,Pershing County,6753
G3200290,Storey County,H7Z001,4158,Storey County,4010
G3200310,Washoe County,H7Z001,420941,Washoe County,421407
G3200330,White Pine County,H7Z001,10211,White Pine County,10030
G3205100,Carson City,H7Z001,55209,Carson City,55274
G3200010,Churchill County,H7Z002,21829,Churchill County,21868
G3200030,Clark County,H7Z002,1381936,Clark County,1382625
G3200050,Douglas County,H7Z002,41957,Douglas County,41894
G3200070,Elko County,H7Z002,37533,Elko County,37660
G3200090,Esmeralda County,H7Z002,734,Esmeralda County,663
G3200110,Eureka County,H7Z002,1787,Eureka County,1749
G3200130,Humboldt County,H7Z002,12567,Humboldt County,12490
G3200150,Lander County,H7Z002,4640,Lander County,4556
G3200170,Lincoln County,H7Z002,5021,Lincoln County,5013
G3200190,Lyon County,H7Z002,44155,Lyon County,44306
G3200210,Mineral County,H7Z002,4372,Mineral County,4336
G3200230,Nye County,H7Z002,37914,Nye County,37979
G3200270,Pershing County,H7Z002,5325,Pershing County,5245
G3200290,Storey County,H7Z002,3788,Storey County,3782
G3200310,Washoe County,H7Z002,327256,Washoe County,327683
G3200330,White Pine County,H7Z002,8711,White Pine County,8704
G3205100,Carson City,H7Z002,43359,Carson City,43497
G3200010,Churchill County,H7Z003,19092,Churchill County,19030
G3200030,Clark County,H7Z003,935886,Clark County,935955
G3200050,Douglas County,H7Z003,39109,Douglas County,39094
G3200070,Elko County,H7Z003,33668,Elko County,33730
G3200090,Esmeralda County,H7Z003,601,Esmeralda County,605
G3200110,Eureka County,H7Z003,1656,Eureka County,1662
G3200130,Humboldt County,H7Z003,11400,Humboldt County,11395
G3200150,Lander County,H7Z003,4253,Lander County,4259
G3200170,Lincoln County,H7Z003,4695,Lincoln County,4698
G3200190,Lyon County,H7Z003,40679,Lyon County,40634
G3200210,Mineral County,H7Z003,3244,Mineral County,3271
G3200230,Nye County,H7Z003,34683,Nye County,34663
G3200270,Pershing County,H7Z003,4611,Pershing County,4605
G3200290,Storey County,H7Z003,3518,Storey County,3532
G3200310,Washoe County,H7Z003,278152,Washoe County,278213
G3200330,White Pine County,H7Z003,7642,White Pine County,7652
G3205100,Carson City,H7Z003,39078,Carson City,39083
G3200010,Churchill County,H7Z004,315,Churchill County,366
G3200030,Clark County,H7Z004,194924,Clark County,194821
G3200050,Douglas County,H7Z004,165,Douglas County,174
G3200070,Elko County,H7Z004,322,Elko County,329
G3200090,Esmeralda County,H7Z004,7,Esmeralda County,0
G3200110,Eureka County,H7Z004,10,Eureka County,2
G3200130,Humboldt County,H7Z004,46,Humboldt County,78
G3200150,Lander County,H7Z004,21,Lander County,17
G3200170,Lincoln County,H7Z004,93,Lincoln County,120
G3200190,Lyon County,H7Z004,347,Lyon County,363
G3200210,Mineral County,H7Z004,214,Mineral County,182
G3200230,Nye County,H7Z004,853,Nye County,836
G3200270,Pershing County,H7Z004,238,Pershing County,251
G3200290,Storey County,H7Z004,35,Storey County,40
G3200310,Washoe County,H7Z004,9054,Washoe County,9088
G3200330,White Pine County,H7Z004,339,White Pine County,388
G3205100,Carson City,H7Z004,990,Carson City,1003
G3200010,Churchill County,H7Z005,1000,Churchill County,991
G3200030,Clark County,H7Z005,8696,Clark County,8732
G3200050,Douglas County,H7Z005,762,Douglas County,759
G3200070,Elko County,H7Z005,2279,Elko County,2286
G3200090,Esmeralda County,H7Z005,11,Esmeralda County,33
G3200110,Eureka County,H7Z005,43,Eureka County,42
G3200130,Humboldt County,H7Z005,605,Humboldt County,628
G3200150,Lander County,H7Z005,213,Lander County,197
G3200170,Lincoln County,H7Z005,42,Lincoln County,57
G3200190,Lyon County,H7Z005,1052,Lyon County,1061
G3200210,Mineral County,H7Z005,633,Mineral County,666
G3200230,Nye County,H7Z005,625,Nye County,592
G3200270,Pershing County,H7Z005,159,Pershing County,173
G3200290,Storey County,H7Z005,76,Storey County,57
G3200310,Washoe County,H7Z005,5791,Washoe County,5782
G3200330,White Pine County,H7Z005,376,White Pine County,384
G3205100,Carson City,H7Z005,1082,Carson City,1096
G3200010,Churchill County,H7Z006,645,Churchill County,633
G3200030,Clark County,H7Z006,165193,Clark County,165121
G3200050,Douglas County,H7Z006,703,Douglas County,699
G3200070,Elko County,H7Z006,387,Elko County,434
G3200090,Esmeralda County,H7Z006,3,Esmeralda County,3
G3200110,Eureka County,H7Z006,28,Eureka County,18
G3200130,Humboldt County,H7Z006,96,Humboldt County,108
G3200150,Lander County,H7Z006,13,Lander County,20
G3200170,Lincoln County,H7Z006,26,Lincoln County,38
G3200190,Lyon County,H7Z006,689,Lyon County,701
G3200210,Mineral County,H7Z006,47,Mineral County,49
G3200230,Nye County,H7Z006,497,Nye County,547
G3200270,Pershing County,H7Z006,83,Pershing County,87
G3200290,Storey County,H7Z006,56,Storey County,66
G3200310,Washoe County,H7Z006,21293,Washoe County,21288
G3200330,White Pine County,H7Z006,83,White Pine County,96
G3205100,Carson City,H7Z006,1114,Carson City,1139
G3200010,Churchill County,H7Z007,41,Churchill County,41
G3200030,Clark County,H7Z007,12529,Clark County,12474
G3200050,Douglas County,H7Z007,57,Douglas County,60
G3200070,Elko County,H7Z007,72,Elko County,62
